序号,发震日期（北京时间）,经度(°),纬度(°),震源深度(Km),震级类型,震级,震中位置,事件类型
1,2021-12-24 20:37:52,101.65,22.37,16,ML,3.1,云南江城,天然地震
2,2021-12-24 15:58:29,102.21,26.07,8,ML,3.2,云南武定,天然地震
3,2021-11-12 09:50:56,105.09,28.08,10,Ms,4.3,云南威信,天然地震
4,2021-10-22 17:19:15,100.01,25.72,16,ML,3.3,云南漾濞,天然地震
5,2021-10-07 20:10:26,102.91,26.92,14,ML,3.2,云南巧家,天然地震
6,2021-9-15 07:19:03,100.00,25.72,16,ML,3.3,云南漾濞,天然地震
7,2021-9-06 08:45:10,100.78,21.55,17,ML,3.4,云南景洪,天然地震
8,2021-8-18 00:23:42,99.87,25.70,13,ML,3.4,云南漾濞,天然地震
9,2021-7-10 16:46:00,100.49,25.80,16,ML,3.2,云南宾川,天然地震
10,2021-7-07 04:19:28,104.99,28.05,9,Ms,4.2,云南威信,天然地震
11,2021-6-29 06:41:28,99.99,25.73,7,ML,3.4,云南漾濞,天然地震
12,2021-6-28 19:48:14,101.89,24.31,8,Ms,4.5,云南双柏,天然地震
13,2021-6-20 11:31:01,100.31,22.68,16,ML,3.6,云南澜沧,天然地震
14,2021-6-16 15:35:37,101.90,24.34,8,Ms,4.3,云南双柏,天然地震
15,2021-6-12 18:00:47,97.89,24.97,16,Ms,5.1,云南盈江,天然地震
16,2021-6-10 21:52:35,101.91,24.36,5,ML,3.4,云南双柏,天然地震
17,2021-6-10 19:58:38,101.89,24.36,9,ML,3.6,云南双柏,天然地震
18,2021-6-10 19:46:06,101.92,24.35,8,Ms,5.3,云南双柏,天然地震
19,2021-6-05 06:12:22,99.98,25.59,11,ML,3.4,云南漾濞,天然地震
20,2021-5-28 20:43:18,99.92,25.54,16,ML,3.4,云南漾濞,天然地震
21,2021-5-27 23:03:57,99.88,25.69,14,ML,3.4,云南漾濞,天然地震
22,2021-5-27 19:52:48,99.92,25.76,12,Ms,4.0,云南漾濞,天然地震
23,2021-5-24 08:43:09,100.01,25.57,18,ML,3.0,云南漾濞,天然地震
24,2021-5-22 22:30:05,99.94,25.59,12,ML,3.2,云南漾濞,天然地震
25,2021-5-22 20:14:36,99.92,25.60,10,Ms,4.7,云南漾濞,天然地震
